,0.0001,0.0002,0.00030000000000000003,0.0004,0.0005,0.0006000000000000001,0.0007000000000000001,0.0008,0.0009000000000000001,0.001,0.0011,0.0012000000000000001,0.0013000000000000002,0.0014000000000000002,0.0015,0.0016,0.0017000000000000001,0.0018000000000000002,0.0019000000000000002,0.002,0.0021,0.0022,0.0023,0.0024,0.0025,0.0026,0.0027,0.0028,0.0029,0.003,0.0031,0.0032,0.0033,0.0034,0.0035,0.0036,0.0037,0.0038,0.0039,0.004,0.0041,0.004200000000000001,0.004300000000000001,0.0044,0.0045000000000000005,0.004600000000000001,0.0047,0.0048000000000000004,0.004900000000000001,0.005
56,23738,29730,34098,40090,42554,51290,56106,61874,65906,72066,80970,81754,84330,93402,100402,104714,109754,116138,119722,125658,126162,130866,138314,146546,149514,160434,158698,165082,163738,174210,178298,179922,189722,194650,202826,200082,207922,214362,211114,218170,221138,227466,228474,240010,241690,246002,251434,257482,256250,264370
57,23073,29457,34131,39147,46899,49806,56988,61776,66393,76824,76596,83037,92491,92271,98826,100650,110511,115413,120030,126414,132741,132399,145330,143970,152691,159075,161811,160614,168822,174750,178740,182502,194700,188430,201540,206385,209064,213901,218583,221889,225643,229698,233916,241668,241839,247425,250902,261162,261105,266976
58,23216,27798,35686,40036,45488,52738,56276,60336,68746,72632,77504,86320,88988,95542,101458,106794,114218,119960,120366,125992,136954,138056,142058,146234,150722,157486,165976,167172,169746,172856,181904,187936,191938,194084,194722,211252,208642,210324,218698,224382,232016,233930,237004,243906,244486,252490,256318,259392,261538,264438
59,22614,30107,33234,41317,45742,51111,56421,61495,68811,74121,80021,85508,93355,98252,98134,112530,111999,118194,126041,128578,132000,141676,142325,145747,153063,159140,166161,166043,179200,176486,192239,186280,197254,192888,202564,212004,215603,219143,224630,224689,236017,240796,238377,247109,251770,258260,258968,258555,265340,273836
60,22727,28067,34067,42887,44747,53687,57467,63707,69467,74867,78467,86207,89987,96527,100007,109907,113747,116747,121967,128027,134627,138347,146807,151307,159707,162687,169727,172967,174647,182867,190907,188387,194507,202307,211247,210947,214367,224987,228087,229787,234647,245967,250247,250727,250967,256187,258267,269087,270987,275327
61,22372,28228,33779,42136,45064,50493,58667,64340,75076,75503,84348,87398,92583,95938,98378,109297,113201,119545,126499,132294,135954,141383,144982,152241,151170,165234,168528,170602,176336,178288,186062,199150,197137,205338,207568,213695,218548,217816,228003,237119,239715,238129,246452,248804,260028,268507,269788,265396,274912,277962
62,22268,28158,33428,38946,45146,52028,58290,64118,67590,75898,85570,88608,92700,100326,107394,112416,116012,125684,124754,134426,135790,144656,145834,152468,161396,167410,176090,177578,180368,188056,189730,193140,203556,205230,209570,215088,227178,226930,232200,239578,242182,245220,248072,259542,262580,263634,271756,278390,275972,285954
63,21859,29104,34900,40948,44980,51532,57643,62683,71503,78622,83347,87442,96766,98215,103444,114091,121966,120328,123856,136267,140929,144331,151954,155545,161467,166444,173941,175831,187612,189880,195487,199834,204244,204811,211237,222262,224782,230956,241792,241099,239902,250360,249352,252124,262078,267118,281230,276379,281671,284191
64,21769,28233,34377,40009,47689,54217,63945,62857,73097,79817,85257,89481,95561,99849,111369,113097,121161,126025,129417,132553,141449,144649,155721,156809,165001,169609,177289,180361,184393,184201,195785,201417,205513,216585,208713,222217,228425,234633,239433,248457,245449,245769,258377,263945,269129,268361,274825,276937,284297,287753
65,22210,26955,34755,39890,46325,54710,59650,63680,69140,79605,86365,87860,95595,103850,108335,116135,119580,126015,129785,135635,139015,153250,153250,161310,165600,172295,182305,184060,185360,197320,198295,204600,203625,211100,230445,232810,225985,236450,239895,245420,248840,256795,262905,271420,269145,273890,282080,279545,289360,301060
66,22808,27098,34754,41090,46964,54092,64058,65840,73694,78974,81152,92042,96926,108014,108740,116000,122402,131478,129068,143192,141476,152234,154412,165038,166622,172694,174476,188336,189128,191966,201932,204110,215132,212096,222326,228926,234900,238958,241400,246218,256580,258164,270374,264600,281364,277106,286874,286214,286412,295124
